ym:s:clientID,ym:s:visitID,ym:s:watchIDs,ym:s:date,ym:s:dateTime,ym:s:isNewUser,ym:s:startURL,ym:s:endURL,ym:s:pageViews,ym:s:visitDuration,ym:s:regionCountry,ym:s:regionCity,ym:s:<attribution>TrafficSource,ym:s:<attribution>AdvEngine,ym:s:<attribution>ReferalSource,ym:s:<attribution>SearchEngineRoot,ym:s:<attribution>SearchEngine,ym:s:<attribution>SocialNetwork,ym:s:referer,ym:s:<attribution>DirectClickOrder,ym:s:<attribution>DirectBannerGroup,ym:s:<attribution>DirectClickBanner,ym:s:<attribution>DirectClickOrderName,ym:s:<attribution>ClickBannerGroupName,ym:s:<attribution>DirectClickBannerName,ym:s:<attribution>DirectPlatformType,ym:s:<attribution>DirectPlatform,ym:s:<attribution>DirectConditionType,ym:s:<attribution>UTMCampaign,ym:s:<attribution>UTMContent,ym:s:<attribution>UTMMedium,ym:s:<attribution>UTMSource,ym:s:<attribution>UTMTerm,ym:s:deviceCategory,ym:s:mobilePhone,ym:s:mobilePhoneModel,ym:s:browser,ym:s:screenFormat,ym:s:screenOrientation,ym:s:physicalScreenWidth,ym:s:physicalScreenHeight,ym:s:<attribution>Messenger,ym:s:<attribution>RecommendationSystem
17492200702259983,3155072108832489492,"[3155072108832489492,3155076172290195476]",2025-06-08,2025-06-08 10:14:03,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,17,Russia,Grozniy,ad,ya_direct,,,,,,74950785,4931621256,12241013294,ХЕПА / РСЯ,высокотемпературные фильтры,Высокотемпературные фильтры HEPA от Производителя,Context,com.paper.princess.dress.up.games,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013294,cpc,yandex_rsya,---autotargeting,2,,k,miui,9:21,2,720,1640,,
1720593401266558741,3155051939915366567,"[3155051939915366567,3155055984205103271]",2025-06-08,2025-06-08 10:12:48,0,https://profi-filter.ru/filtry-vozdushnye-kartridzhnye/fvkart,https://profi-filter.ru/filtry-vozdushnye-kartridzhnye/fvkart,1,15,Russia,Chelyabinsk,internal,ya_undefined,,,,,https://profi-filter.ru/filtry-vozdushnye-kartridzhnye,,0,0,0,,0,,,,,,,,,1,,,chrome,16:9,2,1920,1080,,
1748232732609822692,3150365748705361926,"[3150365748705361926,3150369876061192360]",2025-06-08,2025-06-08 05:14:51,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,16,Russia,Surgut,ad,ya_direct,,,,,,74950785,4931621254,12241013286,ХЕПА / РСЯ,хепа фильтр,HEPA фильтры от Производителя,Context,com.lenovo.anyshare.gps,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013286,cpc,yandex_rsya,---autotargeting,2,samsung,sm-a127f,chromemobile,9:21,1,722,1602,,
1748318593514763206,3150230857123627069,"[3150230857123627069,3150234699176607805]",2025-06-08,2025-06-08 05:06:16,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,15,Tajikistan,,ad,ya_direct,,,,,,74950785,4931621258,12241013299,ХЕПА / РСЯ,фильтр повышенной производительности,Фильтры повышенной производительности от Производителя,Context,com.lenovo.anyshare.gps,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013299,cpc,yandex_rsya,---autotargeting,2,tecno,tecno kg5n,chromemobile,9:21,1,720,1612,,
1749370192992532604,3155949570502688831,"[3155949570502688831,3155951507680788764,3155951610692632833,3156204434387894556,3156315103857737791,3156317817275940927,3156322339813589055,3156329725703225628,3156330055664402716,3156333072014377023,3155955542053880092,3156208365229834303,3156337002508714268]",2025-06-08,2025-06-08 11:09:52,1,https://profi-filter.ru/,https://profi-filter.ru/blog,3,1478,Russia,Saint Petersburg,organic,ya_undefined,,google,google_search,,https://google.com/,,0,0,0,,0,,,,,,,,,1,,,chrome,16:9,2,1536,864,,
1748856658817739137,3156984714642849827,"[3156984714642849827,3156987982353006872]",2025-06-08,2025-06-08 12:15:40,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,13,Tajikistan,,ad,ya_direct,,,,,,74950785,4931621258,12241013299,ХЕПА / РСЯ,фильтр повышенной производительности,Фильтры повышенной производительности от Производителя,Context,com.lenovo.anyshare.gps,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013299,cpc,yandex_rsya,---autotargeting,2,xiaomi,REDMI NOTE 10 PRO,chromemobile,9:21,1,1080,2400,,
1746716000533946928,3152844999662501908,"[3152844999662501908,3152846193459200232]",2025-06-08,2025-06-08 07:52:29,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,4,Russia,,ad,ya_undefined,,,,,,,0,0,0,,0,,,,HEPA_FVA_RSYA,16765478804,cpc,yandex_rsya,высокотемпературный фильтр фва,2,oppo,cph2127,chromemobile,9:21,1,720,1600,,
1747744082574925149,3159768352705478678,"[3159768352705478678,3159772185005916361]",2025-06-08,2025-06-08 15:12:39,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,15,Kyrgyzstan,Bishkek,ad,ya_undefined,,,,,,,0,0,0,,0,,,,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013299,cpc,yandex_rsya,---autotargeting,2,xiaomi,23053rn02i,chromemobile,9:21,1,1080,2462,,
1749379083308909730,3158280362955899143,[3158280362955899143],2025-06-08,2025-06-08 13:38:03,1,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,https://profi-filter.ru/blog/filtry-m5-f5-i-f7-v-chyom-otlichie,1,0,Russia,Istra,organic,ya_undefined,,yandex,yandex_search,,https://yandex.ru/,,0,0,0,,0,,,,,,,,,2,apple,iPhone,chromemobile,9:21,1,1290,2796,,
1748426252613719978,3163562596924916046,[3163562596924916046],2025-06-08,2025-06-08 19:13:52,0,https://profi-filter.ru/hepa-filtry,https://profi-filter.ru/hepa-filtry,1,0,Russia,,ad,ya_direct,,,,,,74950785,4931621258,12241013299,ХЕПА / РСЯ,фильтр повышенной производительности,Фильтры повышенной производительности от Производителя,Context,com.haokan.pictorial,11,HEPA_VIGODNOE_PREDLOGENIE_RSYA,12241013299,cpc,yandex_rsya,---autotargeting,2,realme,rmx3195,chromemobile,46,2,1600,720,,
